age,workclass,education,marital_status,occupation,relationship,race,hours_per_week,native_country,income,Sex
90,0,9,4,8,1,4,40,39,0,0
82,1,9,4,3,1,4,18,39,0,0
66,0,10,4,8,4,2,40,39,0,0
54,1,4,0,6,4,4,40,39,0,0
41,1,10,2,10,3,4,40,39,0,0
34,1,9,0,7,4,4,45,39,0,0
38,1,6,2,0,4,4,40,39,0,1
74,3,16,3,10,2,4,20,39,1,0
68,3,9,0,10,1,4,40,39,0,0
41,1,10,3,2,4,4,60,27,1,1
45,1,16,0,10,4,2,35,39,1,0
38,2,15,3,10,1,4,45,39,1,1
52,1,13,4,7,1,4,20,39,1,0
32,1,14,2,3,1,4,55,39,1,1
51,0,16,3,8,1,4,40,39,1,1
46,1,15,0,10,1,4,40,39,1,1
45,1,7,0,14,1,4,76,39,1,1
57,1,14,0,3,1,4,50,39,1,1
22,1,12,3,5,1,2,40,27,1,1
34,1,13,2,12,1,4,50,39,1,1
37,1,13,3,3,1,4,40,39,1,1
29,1,7,2,12,1,4,42,39,0,0
61,1,9,0,12,4,4,25,39,0,0
51,1,10,1,14,0,4,40,39,0,1
61,0,9,1,8,0,4,32,39,0,1
21,1,11,1,2,0,4,40,39,0,1
33,1,2,1,2,1,4,32,25,0,1
49,1,3,1,7,0,4,40,11,0,1
37,2,6,3,14,1,4,50,39,1,1
38,1,6,3,10,1,4,90,39,1,1
23,1,10,2,7,1,4,40,39,1,1
59,2,6,4,3,4,4,50,39,1,0
52,1,15,0,3,1,4,60,39,1,1
51,1,13,0,3,1,4,50,39,1,1
60,2,9,3,3,1,2,50,39,1,1
63,3,16,0,3,1,4,60,39,1,0
53,1,9,3,12,1,4,48,39,1,1
51,1,15,3,10,1,4,50,39,1,0
37,2,16,3,10,1,4,60,39,1,0
54,1,14,0,10,1,4,40,39,1,0
44,1,13,0,3,4,4,50,39,1,1
43,1,14,0,3,4,4,40,39,1,0
51,1,10,0,0,4,4,40,39,1,0
43,1,14,0,10,4,4,40,39,1,0
71,0,9,1,8,0,4,15,39,0,1
48,1,13,1,12,4,4,70,39,1,0
71,1,9,1,12,0,4,52,39,0,1
73,2,9,1,4,0,1,40,40,0,1
68,0,10,1,8,5,4,40,39,0,0
67,0,10,1,8,0,4,40,39,0,1
40,2,15,3,10,1,4,45,39,1,1
50,1,9,4,12,1,4,72,39,1,0
51,3,11,0,13,1,4,39,39,1,1
42,1,10,3,3,1,4,40,39,1,0
39,1,14,3,12,1,4,45,39,1,1
32,1,13,3,3,2,4,50,39,1,1
53,1,10,2,2,1,4,45,39,1,1
40,3,10,3,11,1,4,40,39,1,1
38,1,13,3,12,1,4,45,39,1,0
33,1,11,2,2,1,4,42,39,1,1
43,1,12,0,2,1,4,70,39,1,1
50,2,7,3,3,2,4,40,39,1,1
44,1,10,1,0,5,4,6,39,1,0
51,2,13,1,12,0,1,40,2,1,1
41,1,15,1,10,0,4,40,39,1,1
60,2,11,1,6,0,4,70,27,1,1
37,1,14,1,3,0,4,60,39,1,1
55,2,15,1,10,0,4,35,11,1,1
39,2,13,1,12,0,4,60,39,1,1
42,2,15,1,10,0,4,60,39,1,1
49,1,13,1,12,0,4,55,39,1,1
47,2,9,1,3,0,4,50,39,1,1
